Search Index	Display Name

All	All Departments
OfficeProducts	Office Products
PetSupplies	Pet Supplies
GardenAndOutdoor	Garden & Outdoor
GroceryAndGourmetFood	Grocery & Gourmet Food
HealthPersonalCare	Health, Household & Baby Care
HomeAndKitchen	Home & Kitchen
Industrial	Industrial & Scientific
SportsAndOutdoors	Sports & Outdoors
ToolsAndHomeImprovement	Tools & Home Improvement
ArtsAndCrafts	Arts, Crafts & Sewing
Automotive	Automotive Parts & Accessories
Baby	Baby
Beauty	Beauty & Personal Care

Apparel	Clothing & Accessories
Fashion	Clothing, Shoes & Jewelry
FashionBaby	Clothing, Shoes & Jewelry Baby
FashionBoys	Clothing, Shoes & Jewelry Boys
FashionGirls	Clothing, Shoes & Jewelry Girls
FashionMen	Clothing, Shoes & Jewelry Men
FashionWomen	Clothing, Shoes & Jewelry Women
Shoes	Shoes

Books	Books
Magazines	Magazine Subscriptions

Computers	Computers
EverythingElse	Everything Else
MobileAndAccessories	Cell Phones & Accessories
ToysAndGames	Toys & Games

Electronics	Electronics
Appliances	Appliances
Luggage	Luggage & Travel Gear
MusicalInstruments	Musical Instruments
Photo	Camera & Photo
Handmade	Handmade
Jewelry	Jewelry
Watches	Watches
LuxuryBeauty	Luxury Beauty

Classical	Classical
Music	CDs & Vinyl
DigitalMusic	Digital Music
DigitalEducationalResources	Digital Educational Resources
KindleStore	Kindle Store

Collectibles	Collectibles & Fine Art
GiftCards	Gift Cards
LocalServices	Home & Business Services
MobileApps	Apps & Games
MoviesAndTV	Movies & TV
Software	Software
VHS	VHS
VideoGames	Video Games
AmazonVideo	Prime Video
